"Guid","AccessType"
308fb115-1a5c-4591-8f75-c048505f9958,Give
3119017f-2e57-4db6-ab72-e08434778eb9,Give
4bde9484-06c6-480e-9cde-8f34ed0faf34,Give
525ab102-6843-411a-b65d-37da9e5283ab,Give
63d3bd5a-3f1d-41eb-897e-a324ef020155,Give
a7850616-e343-462f-8b61-5ab75b2a7c85,Give
b69de778-bdab-41c6-89b2-58d2a38910d0,Give
c115b4a0-0fe6-4abf-890b-698307cc5fe8,Give
c5e687fb-bb5e-4a6f-966e-3a86481da335,Give
da367138-c661-40e1-8921-ad72a00cca93,Give
fbcf61a9-3fa7-4236-b83f-555267e24518,Give
fc5201c7-dbab-47bb-b15b-859a044fc2df,Give
